market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
101,513350,0,202608211018,1343000,1343000,1342000,1343000,62130000,83417830000,0,1.343,1.343,1.342,1.343,621300,834178.3
101,513350,0,202608211019,1343000,1343000,1342000,1342000,79130000,106227760000,0,1.343,1.343,1.342,1.342,791300,1062277.6
101,513350,0,202608211020,1342000,1343000,1342000,1343000,318030000,427104930000,0,1.342,1.343,1.342,1.343,3180300,4271049.3
101,513350,0,202608211021,1343000,1345000,1343000,1345000,350320000,470973600000,0,1.343,1.345,1.343,1.345,3503200,4709736
101,513350,0,202608211022,1344000,1345000,1344000,1345000,185790000,249864340000,0,1.344,1.345,1.344,1.345,1857900,2498643.4
101,513350,0,202608211023,1345000,1345000,1343000,1343000,330220000,443834680000,0,1.345,1.345,1.343,1.343,3302200,4438346.8
101,513350,0,202608211024,1343000,1344000,1343000,1344000,143850000,193268980000,0,1.343,1.344,1.343,1.344,1438500,1932689.8
101,513350,0,202608211025,1344000,1344000,1343000,1344000,74640000,100312520000,0,1.344,1.344,1.343,1.344,746400,1003125.2
101,513350,0,202608211026,1344000,1344000,1342000,1342000,278140000,373521100000,0,1.344,1.344,1.342,1.342,2781400,3735211
101,513350,0,202608211027,1342000,1343000,1341000,1342000,447270000,600227370000,0,1.342,1.343,1.341,1.342,4472700,6002273.7
101,513350,0,202608211028,1342000,1344000,1342000,1343000,171290000,230041140000,0,1.342,1.344,1.342,1.343,1712900,2300411.4
101,513350,0,202608211029,1343000,1344000,1343000,1343000,48570000,65262850000,0,1.343,1.344,1.343,1.343,485700,652628.5
101,513350,0,202608211030,1344000,1344000,1343000,1343000,80390000,108025070000,0,1.344,1.344,1.343,1.343,803900,1080250.7
101,513350,0,202608211031,1344000,1344000,1343000,1344000,27630000,37131560000,0,1.344,1.344,1.343,1.344,276300,371315.6
101,513350,0,202608211032,1344000,1344000,1343000,1344000,62060000,83356130000,0,1.344,1.344,1.343,1.344,620600,833561.3
101,513350,0,202608211033,1344000,1344000,1343000,1344000,266790000,358555900000,0,1.344,1.344,1.343,1.344,2667900,3585559
101,513350,0,202608211034,1344000,1345000,1344000,1345000,399340000,537106070000,0,1.344,1.345,1.344,1.345,3993400,5371060.7
101,513350,0,202608211035,1345000,1345000,1344000,1344000,385750000,518722590000,0,1.345,1.345,1.344,1.344,3857500,5187225.9
101,513350,0,202608211036,1345000,1345000,1344000,1344000,358660000,482056810000,0,1.345,1.345,1.344,1.344,3586600,4820568.1
101,513350,0,202608211037,1343000,1344000,1343000,1343000,237720000,319271940000,0,1.343,1.344,1.343,1.343,2377200,3192719.4
101,513350,0,202608211038,1343000,1345000,1343000,1345000,203140000,272969020000,0,1.343,1.345,1.343,1.345,2031400,2729690.2
101,513350,0,202608211039,1345000,1345000,1344000,1345000,79090000,106375250000,0,1.345,1.345,1.344,1.345,790900,1063752.5
101,513350,0,202608211040,1344000,1345000,1344000,1344000,88790000,119405650000,0,1.344,1.345,1.344,1.344,887900,1194056.5
101,513350,0,202608211041,1345000,1346000,1344000,1345000,250820000,337359030000,0,1.345,1.346,1.344,1.345,2508200,3373590.3
101,513350,0,202608211042,1345000,1346000,1345000,1345000,612990000,824938400000,0,1.345,1.346,1.345,1.345,6129900,8249384
101,513350,0,202608211043,1345000,1345000,1344000,1344000,214780000,288866940000,0,1.345,1.345,1.344,1.344,2147800,2888669.4
101,513350,0,202608211044,1345000,1345000,1343000,1343000,213660000,287117830000,0,1.345,1.345,1.343,1.343,2136600,2871178.3
101,513350,0,202608211045,1343000,1344000,1343000,1344000,245940000,330319330000,0,1.343,1.344,1.343,1.344,2459400,3303193.3
101,513350,0,202608211046,1344000,1344000,1343000,1344000,179490000,241232370000,0,1.344,1.344,1.343,1.344,1794900,2412323.7
101,513350,0,202608211047,1344000,1344000,1343000,1344000,67310000,90462910000,0,1.344,1.344,1.343,1.344,673100,904629.1
101,513350,0,202608211048,1344000,1344000,1343000,1343000,79090000,106234280000,0,1.344,1.344,1.343,1.343,790900,1062342.8
101,513350,0,202608211049,1343000,1344000,1343000,1343000,22970000,30849630000,0,1.343,1.344,1.343,1.343,229700,308496.3
101,513350,0,202608211050,1344000,1344000,1343000,1344000,31260000,41986100000,0,1.344,1.344,1.343,1.344,312600,419861
101,513350,0,202608211051,1343000,1344000,1342000,1342000,240930000,323580030000,0,1.343,1.344,1.342,1.342,2409300,3235800.3
101,513350,0,202608211052,1343000,1343000,1341000,1341000,294350000,394992760000,0,1.343,1.343,1.341,1.341,2943500,3949927.6
101,513350,0,202608211053,1341000,1342000,1341000,1342000,366930000,492065640000,0,1.341,1.342,1.341,1.342,3669300,4920656.4
101,513350,0,202608211054,1341000,1342000,1341000,1342000,53930000,72331840000,0,1.341,1.342,1.341,1.342,539300,723318.4
101,513350,0,202608211055,1341000,1342000,1341000,1342000,100980000,135446110000,0,1.341,1.342,1.341,1.342,1009800,1354461.1
101,513350,0,202608211056,1341000,1342000,1341000,1341000,34050400,45672076400,0,1.341,1.342,1.341,1.341,340504,456720.764
101,513350,0,202608211057,1341000,1342000,1341000,1342000,78460000,105230640000,0,1.341,1.342,1.341,1.342,784600,1052306.4
101,513350,0,202608211058,1342000,1342000,1341000,1341000,28440000,38152290000,0,1.342,1.342,1.341,1.341,284400,381522.9
101,513350,0,202608211059,1342000,1343000,1341000,1343000,284510000,381851290000,0,1.342,1.343,1.341,1.343,2845100,3818512.9
101,513350,0,202608211100,1343000,1343000,1342000,1343000,47660000,63993470000,0,1.343,1.343,1.342,1.343,476600,639934.7
101,513350,0,202608211101,1343000,1343000,1342000,1342000,23250000,31213130000,0,1.343,1.343,1.342,1.342,232500,312131.3
101,513350,0,202608211102,1342000,1343000,1342000,1342000,49470000,66393510000,0,1.342,1.343,1.342,1.342,494700,663935.1
101,513350,0,202608211103,1342000,1343000,1342000,1342000,448560000,601970690000,0,1.342,1.343,1.342,1.342,4485600,6019706.9
101,513350,0,202608211104,1343000,1343000,1342000,1343000,4930000,6618950000,0,1.343,1.343,1.342,1.343,49300,66189.5
101,513350,0,202608211105,1343000,1343000,1343000,1343000,21570000,28967310000,0,1.343,1.343,1.343,1.343,215700,289673.1
101,513350,0,202608211106,1342000,1343000,1342000,1343000,21000000,28187270000,0,1.342,1.343,1.342,1.343,210000,281872.7
101,513350,0,202608211107,1342000,1343000,1342000,1342000,7360000,9877740000,0,1.342,1.343,1.342,1.342,73600,98777.4
101,513350,0,202608211108,1342000,1343000,1342000,1343000,15250000,20476160000,0,1.342,1.343,1.342,1.343,152500,204761.6
101,513350,0,202608211109,1343000,1343000,1342000,1343000,49850000,66941000000,0,1.343,1.343,1.342,1.343,498500,669410
101,513350,0,202608211110,1343000,1344000,1342000,1344000,201580000,270711610000,0,1.343,1.344,1.342,1.344,2015800,2707116.1
