fund_code,fund_market,date,time,estimated_nav,stock_value_cny,fixed_cash_cny,estimated_cash_cny,creation_unit,published_nav,minute_component_count,minute_source_ref,minute_quote_source
520860,SH,2026-09-08,1526,0.776224825453,776112.51545300,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1527,0.7760220165148,775909.70651480,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1528,0.7761841918853,776071.88188530,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1529,0.7763951690484,776282.85904840,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1530,0.776596265643,776483.95564300,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1531,0.7762603652309,776148.05523090,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1532,0.7766013378123,776489.02781230,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1533,0.7766740345815,776561.72458150,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1534,0.7762371318416,776124.82184160,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1535,0.7760266043849,775914.29438490,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1536,0.7758836366666,775771.32666660,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1537,0.7758600357288,775747.72572880,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1538,0.7757996237277,775687.31372770,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1539,0.7757353200366,775623.01003660,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1540,0.7754902386968,775377.92869680,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1541,0.7752832180852,775170.90808520,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1542,0.7752875032683,775175.19326830,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1543,0.7752027033432,775090.39334320,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1544,0.7755261935883,775413.88358830,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
520860,SH,2026-09-08,1545,0.7755876304011,775475.32040110,0,112.31,1000000,0.7760,50,minute:520860,Tencent minute; exact common timestamp intersection
