horizon,scenario,model,days,samples,target_std_bps,residual_std_bps,variance_reduction,residual_mean_bps,upside_es95_bps,downside_es95_bps,abs_p95_bps,first_oos,last_oos
30,fresh_2pct_refit,selected,36,830,33.77958842406566,20.517637909022874,0.6310682644350887,3.2354359079930344,48.23478801419497,32.353839546940016,39.81277961016418,20260610,20260803
30,fresh_2pct_refit,HHI_HTI_fixed_pair,36,830,33.77958842406566,19.885661980472246,0.653445615029979,2.7253121270068332,47.15306747811888,32.6402090535647,40.79608613511263,20260610,20260803
30,fresh_2pct_refit,HTI_FUT,36,830,33.77958842406566,20.57850979794122,0.6288759179890484,3.7961388756238525,49.29238357039014,33.54602233917781,42.84659286339905,20260610,20260803
30,exclude_suspended_days_refit,selected,18,1620,37.73035072699682,18.697135289773815,0.7544338753442714,3.7799986973406257,43.85423174905471,31.966722167087006,37.15875872154941,20260709,20260803
30,exclude_suspended_days_refit,HHI_HTI_fixed_pair,18,1620,37.73035072699682,19.08413912421109,0.7441629354742971,3.1811089788688807,44.089084742067435,34.27722003512848,38.65900770953979,20260709,20260803
30,exclude_suspended_days_refit,HTI_FUT,18,1620,37.73035072699682,19.055114898057685,0.7449405263557869,4.532997180413973,46.33218367700579,31.37675625320399,38.94391485686451,20260709,20260803
60,fresh_endpoint_2%_evaluation_subset,selected,37,593,52.35729795397727,29.17424007293908,0.6895121186501708,3.493346576164506,65.54311509220052,48.97159809910613,55.29235935828548,,
60,fresh_endpoint_2%_evaluation_subset,HHI_HTI_fixed_pair,37,593,52.35729795397727,26.738225579759405,0.7391981216542733,1.3389877296034822,58.61398101447382,48.28229427429488,52.01579081213589,,
60,fresh_endpoint_2%_evaluation_subset,HTI_FUT,37,593,52.35729795397727,28.725550525548627,0.6989890665814353,3.06809524216507,62.27618170349405,44.67131960790753,56.98663982952308,,
60,fresh_endpoint_5%_evaluation_subset,selected,37,1089,53.40441954201123,29.36414993608593,0.6976705403651916,4.6089832871352,65.70506423638501,49.08334590245289,54.24907982912788,,
60,fresh_endpoint_5%_evaluation_subset,HHI_HTI_fixed_pair,37,1089,53.40441954201123,26.85406264328031,0.7471484633697903,2.6218170810638965,60.69363414564903,50.07063979631768,52.90575571538598,,
60,fresh_endpoint_5%_evaluation_subset,HTI_FUT,37,1089,53.40441954201123,28.392881482449376,0.7173398786015569,4.382227916773705,62.90466910657439,46.37328783440987,57.61778128977942,,
60,hedge_timestamp_shift_-1m_frozen_weights,selected,37,2183,51.738677123264644,29.687185755689303,0.6707639222448623,3.917330981277904,67.51727041817631,51.055984220439115,56.6252058547339,,
60,hedge_timestamp_shift_-1m_frozen_weights,HHI_HTI_fixed_pair,37,2183,51.738677123264644,28.271378327876718,0.701418205295737,2.1786171464876585,63.13021871613346,52.658141698641295,55.00039890471785,,
60,hedge_timestamp_shift_+1m_frozen_weights,selected,37,2183,51.53848297620737,28.619782609454017,0.691631932482077,4.362257014265026,64.16910119648982,46.5396758874738,53.59544863628738,,
60,hedge_timestamp_shift_+1m_frozen_weights,HHI_HTI_fixed_pair,37,2183,51.53848297620737,26.5073796027919,0.7354728012493232,2.6753331403588745,58.31940915797928,48.58724860645146,52.074750796303164,,
60,fresh_2pct_refit,selected,37,593,52.35729795397727,27.20910438721177,0.7299314313543119,2.2339194088160204,60.129508063514834,48.79426283909776,51.53404149804852,20260610,20260803
60,fresh_2pct_refit,HHI_HTI_fixed_pair,37,593,52.35729795397727,26.955389012218596,0.7349445388886724,1.0738586456011905,58.21331618656501,49.23520495949328,51.718520098300694,20260610,20260803
60,fresh_2pct_refit,HTI_FUT,37,593,52.35729795397727,28.711429510100622,0.6992849380411581,2.9971241097693437,63.04630410738643,44.24127358309057,56.07624284644238,20260610,20260803
60,exclude_suspended_days_refit,selected,18,1080,51.36560489762283,30.04174271798829,0.657937527059381,9.88271827106176,71.05909771153853,46.015535468354756,60.811581012971594,20260709,20260803
60,exclude_suspended_days_refit,HHI_HTI_fixed_pair,18,1080,51.36560489762283,28.780911526239862,0.6860472618255293,7.073747737385617,70.4944078781636,46.31132108397751,60.20448477759777,20260709,20260803
60,exclude_suspended_days_refit,HTI_FUT,18,1080,51.36560489762283,28.22989112282597,0.6979536495799519,10.683611976624267,69.50193536206466,39.57326399459357,60.69967727271894,20260709,20260803
