horizon,test_date,fit_start,inner_fit_end,validation_start,train_end,train_rows,test_rows,selection_score,alpha,legs,HSI_FUT,HHI_FUT,HTI_FUT,02800,02828,03032,03033,02845,fixed_pair_HHI_beta,fixed_pair_HTI_beta
15,20260708,20260401,20260622,20260623,20260707,6300,105,0.0023231766289167123,0.0,HHI_FUT+03033,0.0,0.5648515254524822,0.0,0.0,0.0,0.0,0.3817968979076123,0.0,0.49221651038508607,0.40081547025646047
15,20260709,20260402,20260623,20260624,20260708,6300,105,0.002300210881539932,0.1,HHI_FUT+03033,0.0,0.4462868510917666,0.0,0.0,0.0,0.0,0.41401677423756306,0.0,0.4727455435402743,0.41178648994306427
15,20260710,20260408,20260624,20260625,20260709,6300,105,0.002343163316472002,0.0,HSI_FUT+03033,0.5725323573447285,0.0,0.0,0.0,0.0,0.0,0.4067060801157026,0.0,0.4621989319111788,0.414810085269771
15,20260713,20260409,20260625,20260626,20260710,6300,105,0.0023564261649620948,0.01,HSI_FUT+03033,0.5526604045091634,0.0,0.0,0.0,0.0,0.0,0.41257563917957074,0.0,0.45757481926112764,0.41755192120539686
15,20260714,20260410,20260626,20260629,20260713,6300,105,0.002369753128661959,0.01,HSI_FUT+03032,0.5366674613930049,0.0,0.0,0.0,0.0,0.4131210413252764,0.0,0.0,0.4734056357607274,0.4124398847130589
15,20260715,20260413,20260629,20260630,20260714,6300,105,0.002406251289371262,0.0,HHI_FUT+03033,0.0,0.5588136796886605,0.0,0.0,0.0,0.0,0.3914015588841533,0.0,0.4761986880487173,0.41581355951317917
15,20260716,20260414,20260630,20260702,20260715,6300,105,0.0023091167185622045,0.0,HHI_FUT+03033,0.0,0.5573861953283039,0.0,0.0,0.0,0.0,0.39093857362119055,0.0,0.47478798830478647,0.41620405861723075
15,20260717,20260415,20260702,20260703,20260716,6300,105,0.0022774080886207686,0.0,HHI_FUT+03033,0.0,0.5555021065599368,0.0,0.0,0.0,0.0,0.3849298064986199,0.0,0.4727159333773319,0.41025597019529164
15,20260720,20260416,20260703,20260706,20260717,6300,105,0.0021771106913938483,0.0,HHI_FUT+03033,0.0,0.5603239672778996,0.0,0.0,0.0,0.0,0.3917069193347922,0.0,0.4802756706137446,0.41510776803091287
15,20260721,20260417,20260706,20260707,20260720,6300,105,0.002254193593362557,0.0,HHI_FUT+03033,0.0,0.5542509448703469,0.0,0.0,0.0,0.0,0.40260142505537244,0.0,0.471102039468057,0.42771650611809026
15,20260722,20260420,20260707,20260708,20260721,6300,105,0.002241512277859255,0.0,HHI_FUT+03033,0.0,0.5311528029023306,0.0,0.0,0.0,0.0,0.41769619975131733,0.0,0.4430241302411245,0.44570547624399415
15,20260723,20260421,20260708,20260709,20260722,6300,105,0.0022122860560406994,0.0,HHI_FUT+03033,0.0,0.5273972508654574,0.0,0.0,0.0,0.0,0.42192454005696783,0.0,0.4377427331126542,0.4512515449972154
15,20260724,20260422,20260709,20260710,20260723,6300,105,0.0021477077204024022,0.0,HHI_FUT+03033,0.0,0.5237724371394108,0.0,0.0,0.0,0.0,0.4194780735702235,0.0,0.4326093815845501,0.44982700619226956
15,20260727,20260423,20260710,20260713,20260724,6300,105,0.0021049440972230223,0.0,HHI_FUT+03033,0.0,0.5179152229731303,0.0,0.0,0.0,0.0,0.4224927027212236,0.0,0.42730906775040123,0.4528260326253687
15,20260728,20260424,20260713,20260714,20260727,6300,105,0.002075826196992296,0.0,HHI_FUT+03033,0.0,0.5138164468610759,0.0,0.0,0.0,0.0,0.42517300867204205,0.0,0.42216248882237334,0.4564300403853817
15,20260729,20260427,20260714,20260715,20260728,6300,105,0.0019485051534207883,0.0,02828+03033,0.0,0.0,0.0,0.0,0.4235395850745378,0.0,0.48259911085859586,0.0,0.4118166358514844,0.46165569853464133
15,20260730,20260428,20260715,20260716,20260729,6300,105,0.001961604570435145,0.0,02828+03033,0.0,0.0,0.0,0.0,0.42592753437788533,0.0,0.4818155693933395,0.0,0.4120715111593154,0.4620196861789025
15,20260731,20260429,20260716,20260717,20260730,6300,105,0.0018999439221522635,0.0,02828+03032,0.0,0.0,0.0,0.0,0.39199508620971196,0.5000279875123246,0.0,0.0,0.4304527157207829,0.4489901633369574
15,20260803,20260430,20260717,20260720,20260731,6300,105,0.0017865795115157897,0.0,03033,0.0,0.0,0.0,0.0,0.0,0.0,0.698357911264261,0.0,0.4338586641256397,0.44528981893799474
30,20260610,20260303,20260522,20260526,20260609,5400,90,0.0031471657233782422,0.0,HHI_FUT+03033,0.0,0.6473258671748785,0.0,0.0,0.0,0.0,0.40546927417783807,0.0,0.5310805055362213,0.4697038017553847
30,20260611,20260304,20260526,20260527,20260610,5400,90,0.0032637741287379765,0.0,HHI_FUT+03033,0.0,0.6342688370342807,0.0,0.0,0.0,0.0,0.4139180371451596,0.0,0.5068745211433974,0.4852388576765192
30,20260612,20260305,20260527,20260528,20260611,5400,90,0.003282723555689639,0.0,HSI_FUT+03033,0.7180404728465126,0.0,0.0,0.0,0.0,0.0,0.4019670871458405,0.0,0.5177524169917396,0.4812407912858992
30,20260615,20260306,20260528,20260529,20260612,5400,90,0.002841278527832473,0.01,HHI_FUT+03032,0.0,0.5498759720414829,0.0,0.0,0.0,0.4454847721336924,0.0,0.0,0.49830048964104345,0.4761025856694047
30,20260616,20260309,20260529,20260601,20260615,5400,90,0.0027446835302647986,0.0,02800+03032,0.0,0.0,0.0,0.18579702465247053,0.0,0.6630359018828372,0.0,0.0,0.523304756990083,0.4624190950322541
30,20260617,20260310,20260601,20260603,20260616,5400,90,0.0026916403078119855,0.1,HSI_FUT+03032,0.49122476945058585,0.0,0.0,0.0,0.0,0.46827290079362166,0.0,0.0,0.5837613937725631,0.41521733964272467
30,20260618,20260316,20260603,20260604,20260617,5400,90,0.002625992853679533,0.01,HSI_FUT+03032,0.6745720982168548,0.0,0.0,0.0,0.0,0.4054216800640333,0.0,0.0,0.5872874189985625,0.4151708806677366
30,20260622,20260317,20260604,20260605,20260618,5400,90,0.0027048178162705277,0.01,HSI_FUT+03032,0.6670199897033465,0.0,0.0,0.0,0.0,0.40394800281248494,0.0,0.0,0.5878859749980858,0.40812201623820615
30,20260623,20260318,20260605,20260608,20260622,5400,90,0.0025823862862907375,0.0,HSI_FUT+03032,0.7020206600873916,0.0,0.0,0.0,0.0,0.3873013249293975,0.0,0.0,0.5947592635069405,0.40085278587255946
30,20260624,20260319,20260608,20260609,20260623,5400,90,0.002621091827615593,0.0,HSI_FUT+03033,0.7192610519267418,0.0,0.0,0.0,0.0,0.0,0.3815685771877193,0.0,0.5626393271431446,0.42333597782486587
30,20260625,20260320,20260609,20260610,20260624,5400,90,0.002528818482331942,0.0,HHI_FUT+03033,0.0,0.6680791089165099,0.0,0.0,0.0,0.0,0.3504968960775316,0.0,0.5718915969557552,0.40219260739422424
30,20260626,20260323,20260610,20260611,20260625,5400,90,0.002463937025159334,0.0,HHI_FUT+02845,0.0,0.9995948296811085,0.0,0.0,0.0,0.0,0.0,0.17794100442437497,0.5897134022531427,0.39197424299954153
30,20260629,20260324,20260611,20260612,20260626,5400,90,0.0024564502235404533,0.0,HHI_FUT+02845,0.0,0.9888842011668363,0.0,0.0,0.0,0.0,0.0,0.17868807105348833,0.5729980444036256,0.39113460525660826
30,20260630,20260325,20260612,20260615,20260629,5400,90,0.0025249889348300655,0.0,HHI_FUT+02845,0.0,0.9599161970095189,0.0,0.0,0.0,0.0,0.0,0.17478352315955928,0.5576153355146609,0.37741158302332345
30,20260702,20260326,20260615,20260616,20260630,5400,90,0.002602660618109403,0.0,HHI_FUT+02845,0.0,1.027550847736956,0.0,0.0,0.0,0.0,0.0,0.168096511794048,0.5407950636182693,0.43274673591934115
30,20260703,20260327,20260616,20260617,20260702,5400,90,0.0028534821040847834,0.0,02828+03032,0.0,0.0,0.0,0.0,0.5118841826023344,0.47491038262314617,0.0,0.0,0.5135467552813795,0.460701610044538
30,20260706,20260330,20260617,20260618,20260703,5400,90,0.0029637119184940802,0.01,HHI_FUT+03033,0.0,0.5910509292187099,0.0,0.0,0.0,0.0,0.4175005490856226,0.0,0.5534650668327878,0.4295368181891957
30,20260707,20260331,20260618,20260622,20260706,5400,90,0.002922983599347056,0.01,HHI_FUT+03033,0.0,0.5661057364183961,0.0,0.0,0.0,0.0,0.4256905877358274,0.0,0.5415628708220579,0.4304537511709888
30,20260708,20260401,20260622,20260623,20260707,5400,90,0.002931261672797941,0.01,HHI_FUT+03033,0.0,0.5692121869600434,0.0,0.0,0.0,0.0,0.4283378862921471,0.0,0.5466094628580302,0.43166071758636876
30,20260709,20260402,20260623,20260624,20260708,5400,90,0.002982161604340652,0.1,HHI_FUT+03032,0.0,0.4351397845806586,0.0,0.0,0.0,0.4627397382600696,0.0,0.0,0.5194736398015867,0.4432613784135334
30,20260710,20260408,20260624,20260625,20260709,5400,90,0.0030358031707811883,0.0,02800+03032,0.0,0.0,0.0,0.1946444110166351,0.0,0.6371037895235019,0.0,0.0,0.5060982944687881,0.44700465198274336
30,20260713,20260409,20260625,20260626,20260710,5400,90,0.0028436604789546694,0.0,02800+03032,0.0,0.0,0.0,0.19964381247968344,0.0,0.6377870794479926,0.0,0.0,0.5004954435652436,0.4539024553584558
30,20260714,20260410,20260626,20260629,20260713,5400,90,0.0028452624522604894,0.0,02800+03032,0.0,0.0,0.0,0.21049728952001603,0.0,0.633564500029105,0.0,0.0,0.5172837359333494,0.4453407709509459
30,20260715,20260413,20260629,20260630,20260714,5400,90,0.003023651004211957,0.0,02800+03032,0.0,0.0,0.0,0.23077949375048434,0.0,0.632830802442887,0.0,0.0,0.5322505436921502,0.4476806397016301
30,20260716,20260414,20260630,20260702,20260715,5400,90,0.0029867981990652445,0.0,HTI_FUT+02800,0.0,0.0,0.6338357242696457,0.24751768604698812,0.0,0.0,0.0,0.0,0.5360332906955196,0.44534688775851666
30,20260717,20260415,20260702,20260703,20260716,5400,90,0.0030576212861026424,0.01,02800+03032,0.0,0.0,0.0,0.24139124427279332,0.0,0.6125971502571166,0.0,0.0,0.5316302204693565,0.43179758464459395
30,20260720,20260416,20260703,20260706,20260717,5400,90,0.0030453702866408043,0.01,HHI_FUT+03032,0.0,0.5543416949364139,0.0,0.0,0.0,0.43627921134098613,0.0,0.0,0.5538391662312069,0.4321406572269772
